%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   2.7800000e+01  -1.2494816e+02   5.3768167e+01   4.7115160e+00   3.1980000e-02   2.1304800e+00
   2.8000000e+01  -1.2535724e+02   5.3782914e+01   4.7102050e+00   4.5838000e-02   2.1278400e+00
   2.8200000e+01  -1.2579276e+02   5.3772539e+01   4.7074620e+00   1.2792000e-02   2.1120000e+00
   2.8400000e+01  -1.2623708e+02   5.3752099e+01   4.7087420e+00   2.7716000e-02   2.1146400e+00
   2.8600000e+01  -1.2668064e+02   5.3755507e+01   4.7024900e+00   2.8782000e-02   2.1278400e+00
   2.8800000e+01  -1.2711595e+02   5.3742672e+01   4.7021760e+00   3.4112000e-02   2.0856000e+00
   2.9000000e+01  -1.2756759e+02   5.3735525e+01   4.6998720e+00   3.7310000e-02   2.1172800e+00
   2.9200000e+01  -1.2801706e+02   5.3721592e+01   4.6997220e+00   2.9848000e-02   2.1463200e+00
   2.9400000e+01  -1.2844176e+02   5.3734360e+01   4.7005930e+00   2.4518000e-02   2.1727200e+00
   2.9600000e+01  -1.2888430e+02   5.3736023e+01   4.6996210e+00   2.7716000e-02   2.1384000e+00
   2.9800000e+01  -1.2932470e+02   5.3731376e+01   4.6994260e+00   2.0254000e-02   2.1410400e+00
   3.0000000e+01  -1.2978776e+02   5.3706784e+01   4.6980890e+00   4.0508000e-02   2.1621600e+00
   3.0200000e+01  -1.3021587e+02   5.3712355e+01   4.6984610e+00   2.2386000e-02   2.1304800e+00
   3.0400000e+01  -1.3065679e+02   5.3710546e+01   4.6968550e+00   5.3300000e-02   2.1568800e+00
   3.0600000e+01  -1.3110912e+02   5.3712907e+01   4.6991070e+00   6.0762000e-02   2.1674400e+00
   3.0800000e+01  -1.3155714e+02   5.3724645e+01   4.6973540e+00   7.4620000e-02   2.2017600e+00
   3.1000000e+01  -1.3199659e+02   5.3715918e+01   4.6987610e+00   8.9544000e-02   2.1516000e+00
   3.1200000e+01  -1.3244062e+02   5.3705194e+01   4.7060020e+00   7.7818000e-02   2.1516000e+00
   3.1400000e+01  -1.3286774e+02   5.3704443e+01   4.7108170e+00   6.8224000e-02   2.1463200e+00
   3.1600000e+01  -1.3326469e+02   5.3714771e+01   4.7169740e+00   6.0762000e-02   2.1912000e+00
   3.1800000e+01  -1.3372625e+02   5.3726607e+01   4.7208250e+00   5.5432000e-02   2.1384000e+00
   3.2000000e+01  -1.3415874e+02   5.3727420e+01   4.7162410e+00   3.1980000e-02   2.1225600e+00
   3.2200000e+01  -1.3459081e+02   5.3731183e+01   4.7198880e+00   3.1980000e-02   2.0961600e+00
   3.2400000e+01  -1.3504275e+02   5.3736225e+01   4.7161080e+00   1.8122000e-02   2.1093600e+00
   3.2600000e+01  -1.3549145e+02   5.3741779e+01   4.7116610e+00   4.2640000e-03   2.1252000e+00
   3.2800000e+01  -1.3593440e+02   5.3744556e+01   4.7128110e+00   2.0254000e-02   2.1225600e+00
   3.3000000e+01  -1.3635844e+02   5.3746140e+01   4.7069000e+00   1.7056000e-02   2.1225600e+00
   3.3200000e+01  -1.3680759e+02   5.3753940e+01   4.7033560e+00   3.6244000e-02   2.1806400e+00
   3.3400000e+01  -1.3724321e+02   5.3769099e+01   4.6994760e+00   1.3858000e-02   2.1621600e+00
   3.3600000e+01  -1.3768301e+02   5.3770273e+01   4.6980870e+00   2.9848000e-02   2.1832800e+00
   3.3800000e+01  -1.3812138e+02   5.3758637e+01   4.6919280e+00   5.3300000e-02   2.1146400e+00
   3.4000000e+01  -1.3856219e+02   5.3751124e+01   4.6950210e+00   6.7158000e-02   2.1410400e+00
   3.4200000e+01  -1.3899151e+02   5.3744523e+01   4.6961280e+00   5.6498000e-02   2.1040800e+00
   3.4400000e+01  -1.3944592e+02   5.3727158e+01   4.6965540e+00   6.2894000e-02   2.1384000e+00
   3.4600000e+01  -1.3989164e+02   5.3718467e+01   4.6980800e+00   5.8630000e-02   2.1384000e+00
   3.4800000e+01  -1.4032401e+02   5.3725244e+01   4.6946550e+00   6.0762000e-02   2.1225600e+00
   3.5000000e+01  -1.4075644e+02   5.3723546e+01   4.6980750e+00   7.2488000e-02   2.1172800e+00
   3.5200000e+01  -1.4119695e+02   5.3726422e+01   4.6999240e+00   7.0356000e-02   2.1278400e+00
   3.5400000e+01  -1.4164220e+02   5.3731975e+01   4.7025910e+00   6.8224000e-02   2.0882400e+00
   3.5600000e+01  -1.4208107e+02   5.3745517e+01   4.7055940e+00   4.5838000e-02   2.1172800e+00
   3.5800000e+01  -1.4252284e+02   5.3756473e+01   4.7068100e+00   2.9848000e-02   2.1304800e+00
   3.6000000e+01  -1.4296642e+02   5.3735402e+01   4.7040960e+00   3.8376000e-02   2.1331200e+00
   3.6200000e+01  -1.4341289e+02   5.3731473e+01   4.7056000e+00   3.4112000e-02   2.1357600e+00
